UNKNOWN(21007008)                'paymentPluginUCS (iikoFront)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21007308)                'Resto.Front.Api.ArcusPlugin (Front)'        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21008008)                'ECRCommX (iikoFront)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21008918)                'PlatiusPlugin (iikoFront)'                  {2=[9 (2020-07-15, 2020-12-03)]}
PLUGIN_DEVELOPER(21009108)       'PluginDeveloper (iiko)'                     {2=[9 (2020-07-15, 2020-12-03)]}
ADDITIONAL_INFO(21009109)        'additionalInfo'                             {2=[1 (2010-01-01, ..)], 1000=2049}
REGIONAL_FEATURES(21009110)      'regionalInfo'                               {2=[1 (2010-01-01, ..)], 1000=0x4cf1f}
UNKNOWN(21009501)                'Customer Display (iikoFront)'               {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21009808)                'ECVI Payment Plugin (iikoFront)'            {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21010208)                'IntellectStylePaymentPlugin (iikoFront)'    {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21010301)                'GDPdU plugin (iikoFront)'                   {2=[9 (2020-07-15, 2020-12-03)]}
IIKO_CARD5_FRONT(21011218)       'iikoCard5 On-Premise (iikoFront)'           {2=[18 (2020-07-15, 2020-12-03)]}
IIKO_CARD5_CALL_CENTER(21011219) 'iikoCard5 CallCenter On-Premise (iikoCard5 CallCenter On-Premise)' {2=[18 (2020-07-15, 2020-12-03)]}
UNKNOWN(21011308)                'FidelioPaymentPlugin (iikoFront)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21011408)                '1cHotelPaymentPlugin (iikoFront)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(21011801)                'TicketSoftNotificationPlugin (iikoFront)'   {2=[9 (2020-07-15, 2020-12-03)]}
